ticker,mode,model,fold,score
NVDA,Classification,Random Forest,1,0.46564885496183206
NVDA,Classification,Random Forest,2,0.4732824427480916
NVDA,Classification,Random Forest,3,0.5801526717557252
NVDA,Classification,Random Forest,4,0.5419847328244275
NVDA,Classification,Random Forest,5,0.4198473282442748
NVDA,Classification,XGBoost,1,0.5114503816793893
NVDA,Classification,XGBoost,2,0.45038167938931295
NVDA,Classification,XGBoost,3,0.5801526717557252
NVDA,Classification,XGBoost,4,0.549618320610687
NVDA,Classification,XGBoost,5,0.45038167938931295
NVDA,Classification,LSTM,1,0.5419847328244275
NVDA,Classification,LSTM,2,0.5267175572519084
NVDA,Classification,LSTM,3,0.46564885496183206
NVDA,Classification,LSTM,4,0.48091603053435117
NVDA,Classification,LSTM,5,0.5343511450381679
NVDA,Classification,NEAT,1,0.5114503816793893
NVDA,Classification,NEAT,2,0.5114503816793893
NVDA,Classification,NEAT,3,0.5267175572519084
NVDA,Classification,NEAT,4,0.5801526717557252
NVDA,Classification,NEAT,5,0.5114503816793893
NVDA,Classification,Jordan,1,0.5572519083969466
NVDA,Classification,Jordan,2,0.5038167938931297
NVDA,Classification,Jordan,3,0.48091603053435117
NVDA,Classification,Jordan,4,0.45038167938931295
NVDA,Classification,Jordan,5,0.5419847328244275
NVDA,Regression,Random Forest,1,0.5725190839694656
NVDA,Regression,Random Forest,2,0.5267175572519084
NVDA,Regression,Random Forest,3,0.5572519083969466
NVDA,Regression,Random Forest,4,0.5267175572519084
NVDA,Regression,Random Forest,5,0.4961832061068702
NVDA,Regression,XGBoost,1,0.4732824427480916
NVDA,Regression,XGBoost,2,0.5343511450381679
NVDA,Regression,XGBoost,3,0.5343511450381679
NVDA,Regression,XGBoost,4,0.5419847328244275
NVDA,Regression,XGBoost,5,0.4961832061068702
NVDA,Regression,LSTM,1,0.40458015267175573
NVDA,Regression,LSTM,2,0.5419847328244275
NVDA,Regression,LSTM,3,0.48854961832061067
NVDA,Regression,LSTM,4,0.5419847328244275
NVDA,Regression,LSTM,5,0.5190839694656488
NVDA,Regression,NEAT,1,0.5954198473282443
NVDA,Regression,NEAT,2,0.5572519083969466
NVDA,Regression,NEAT,3,0.549618320610687
NVDA,Regression,NEAT,4,0.5190839694656488
NVDA,Regression,NEAT,5,0.5114503816793893
NVDA,Regression,Jordan,1,0.5038167938931297
NVDA,Regression,Jordan,2,0.5343511450381679
NVDA,Regression,Jordan,3,0.4732824427480916
NVDA,Regression,Jordan,4,0.48854961832061067
NVDA,Regression,Jordan,5,0.5267175572519084
AAPL,Classification,Random Forest,1,0.4732824427480916
AAPL,Classification,Random Forest,2,0.45038167938931295
AAPL,Classification,Random Forest,3,0.4732824427480916
AAPL,Classification,Random Forest,4,0.5801526717557252
AAPL,Classification,Random Forest,5,0.5572519083969466
AAPL,Classification,XGBoost,1,0.4961832061068702
AAPL,Classification,XGBoost,2,0.44274809160305345
AAPL,Classification,XGBoost,3,0.5267175572519084
AAPL,Classification,XGBoost,4,0.5343511450381679
AAPL,Classification,XGBoost,5,0.5877862595419847
AAPL,Classification,LSTM,1,0.44274809160305345
AAPL,Classification,LSTM,2,0.40458015267175573
AAPL,Classification,LSTM,3,0.42748091603053434
AAPL,Classification,LSTM,4,0.48854961832061067
AAPL,Classification,LSTM,5,0.45038167938931295
AAPL,Classification,NEAT,1,0.46564885496183206
AAPL,Classification,NEAT,2,0.549618320610687
AAPL,Classification,NEAT,3,0.5343511450381679
AAPL,Classification,NEAT,4,0.5190839694656488
AAPL,Classification,NEAT,5,0.5038167938931297
AAPL,Classification,Jordan,1,0.4961832061068702
AAPL,Classification,Jordan,2,0.42748091603053434
AAPL,Classification,Jordan,3,0.4961832061068702
AAPL,Classification,Jordan,4,0.44274809160305345
AAPL,Classification,Jordan,5,0.5267175572519084
AAPL,Regression,Random Forest,1,0.5190839694656488
AAPL,Regression,Random Forest,2,0.4961832061068702
AAPL,Regression,Random Forest,3,0.48091603053435117
AAPL,Regression,Random Forest,4,0.5190839694656488
AAPL,Regression,Random Forest,5,0.5267175572519084
AAPL,Regression,XGBoost,1,0.4580152671755725
AAPL,Regression,XGBoost,2,0.4580152671755725
AAPL,Regression,XGBoost,3,0.5267175572519084
AAPL,Regression,XGBoost,4,0.6030534351145038
AAPL,Regression,XGBoost,5,0.5419847328244275
AAPL,Regression,LSTM,1,0.5572519083969466
AAPL,Regression,LSTM,2,0.549618320610687
AAPL,Regression,LSTM,3,0.48091603053435117
AAPL,Regression,LSTM,4,0.4580152671755725
AAPL,Regression,LSTM,5,0.5267175572519084
AAPL,Regression,NEAT,1,0.5419847328244275
AAPL,Regression,NEAT,2,0.6106870229007634
AAPL,Regression,NEAT,3,0.4351145038167939
AAPL,Regression,NEAT,4,0.48854961832061067
AAPL,Regression,NEAT,5,0.5190839694656488
AAPL,Regression,Jordan,1,0.42748091603053434
AAPL,Regression,Jordan,2,0.4961832061068702
AAPL,Regression,Jordan,3,0.5114503816793893
AAPL,Regression,Jordan,4,0.4580152671755725
AAPL,Regression,Jordan,5,0.6259541984732825
TSLA,Classification,Random Forest,1,0.5190839694656488
TSLA,Classification,Random Forest,2,0.5114503816793893
TSLA,Classification,Random Forest,3,0.5267175572519084
TSLA,Classification,Random Forest,4,0.5725190839694656
TSLA,Classification,Random Forest,5,0.48091603053435117
TSLA,Classification,XGBoost,1,0.5190839694656488
TSLA,Classification,XGBoost,2,0.5267175572519084
TSLA,Classification,XGBoost,3,0.5648854961832062
TSLA,Classification,XGBoost,4,0.5190839694656488
TSLA,Classification,XGBoost,5,0.48854961832061067
TSLA,Classification,LSTM,1,0.5190839694656488
TSLA,Classification,LSTM,2,0.5572519083969466
TSLA,Classification,LSTM,3,0.4961832061068702
TSLA,Classification,LSTM,4,0.4580152671755725
TSLA,Classification,LSTM,5,0.4580152671755725
TSLA,Classification,NEAT,1,0.5190839694656488
TSLA,Classification,NEAT,2,0.5267175572519084
TSLA,Classification,NEAT,3,0.4732824427480916
TSLA,Classification,NEAT,4,0.48854961832061067
TSLA,Classification,NEAT,5,0.5725190839694656
TSLA,Classification,Jordan,1,0.5572519083969466
TSLA,Classification,Jordan,2,0.5725190839694656
TSLA,Classification,Jordan,3,0.48091603053435117
TSLA,Classification,Jordan,4,0.5190839694656488
TSLA,Classification,Jordan,5,0.5267175572519084
TSLA,Regression,Random Forest,1,0.5190839694656488
TSLA,Regression,Random Forest,2,0.5267175572519084
TSLA,Regression,Random Forest,3,0.5419847328244275
TSLA,Regression,Random Forest,4,0.5114503816793893
TSLA,Regression,Random Forest,5,0.4961832061068702
TSLA,Regression,XGBoost,1,0.549618320610687
TSLA,Regression,XGBoost,2,0.48854961832061067
TSLA,Regression,XGBoost,3,0.5343511450381679
TSLA,Regression,XGBoost,4,0.549618320610687
TSLA,Regression,XGBoost,5,0.48091603053435117
TSLA,Regression,LSTM,1,0.5725190839694656
TSLA,Regression,LSTM,2,0.5190839694656488
TSLA,Regression,LSTM,3,0.5267175572519084
TSLA,Regression,LSTM,4,0.5114503816793893
TSLA,Regression,LSTM,5,0.48854961832061067
TSLA,Regression,NEAT,1,0.5190839694656488
TSLA,Regression,NEAT,2,0.45038167938931295
TSLA,Regression,NEAT,3,0.5114503816793893
TSLA,Regression,NEAT,4,0.4351145038167939
TSLA,Regression,NEAT,5,0.4961832061068702
TSLA,Regression,Jordan,1,0.4961832061068702
TSLA,Regression,Jordan,2,0.5267175572519084
TSLA,Regression,Jordan,3,0.46564885496183206
TSLA,Regression,Jordan,4,0.5114503816793893
TSLA,Regression,Jordan,5,0.48091603053435117
SPY,Classification,Random Forest,1,0.4732824427480916
SPY,Classification,Random Forest,2,0.549618320610687
SPY,Classification,Random Forest,3,0.5267175572519084
SPY,Classification,Random Forest,4,0.5190839694656488
SPY,Classification,Random Forest,5,0.48854961832061067
SPY,Classification,XGBoost,1,0.5725190839694656
SPY,Classification,XGBoost,2,0.48091603053435117
SPY,Classification,XGBoost,3,0.5114503816793893
SPY,Classification,XGBoost,4,0.5801526717557252
SPY,Classification,XGBoost,5,0.44274809160305345
SPY,Classification,LSTM,1,0.5725190839694656
SPY,Classification,LSTM,2,0.4961832061068702
SPY,Classification,LSTM,3,0.46564885496183206
SPY,Classification,LSTM,4,0.549618320610687
SPY,Classification,LSTM,5,0.5801526717557252
SPY,Classification,NEAT,1,0.5572519083969466
SPY,Classification,NEAT,2,0.6106870229007634
SPY,Classification,NEAT,3,0.5648854961832062
SPY,Classification,NEAT,4,0.5801526717557252
SPY,Classification,NEAT,5,0.5038167938931297
SPY,Classification,Jordan,1,0.5954198473282443
SPY,Classification,Jordan,2,0.5725190839694656
SPY,Classification,Jordan,3,0.42748091603053434
SPY,Classification,Jordan,4,0.5725190839694656
SPY,Classification,Jordan,5,0.4961832061068702
SPY,Regression,Random Forest,1,0.5038167938931297
SPY,Regression,Random Forest,2,0.5419847328244275
SPY,Regression,Random Forest,3,0.5648854961832062
SPY,Regression,Random Forest,4,0.48091603053435117
SPY,Regression,Random Forest,5,0.44274809160305345
SPY,Regression,XGBoost,1,0.5190839694656488
SPY,Regression,XGBoost,2,0.5038167938931297
SPY,Regression,XGBoost,3,0.5419847328244275
SPY,Regression,XGBoost,4,0.5190839694656488
SPY,Regression,XGBoost,5,0.4351145038167939
SPY,Regression,LSTM,1,0.4122137404580153
SPY,Regression,LSTM,2,0.5877862595419847
SPY,Regression,LSTM,3,0.4351145038167939
SPY,Regression,LSTM,4,0.5725190839694656
SPY,Regression,LSTM,5,0.45038167938931295
SPY,Regression,NEAT,1,0.5725190839694656
SPY,Regression,NEAT,2,0.5038167938931297
SPY,Regression,NEAT,3,0.5725190839694656
SPY,Regression,NEAT,4,0.5267175572519084
SPY,Regression,NEAT,5,0.5419847328244275
SPY,Regression,Jordan,1,0.5343511450381679
SPY,Regression,Jordan,2,0.5648854961832062
SPY,Regression,Jordan,3,0.46564885496183206
SPY,Regression,Jordan,4,0.5877862595419847
SPY,Regression,Jordan,5,0.5267175572519084
